iter	RMSE
0	16.01130647
1	16.00692478
2	16.00311553
3	16.00054146
4	15.99598823
5	15.99155605
6	15.98875393
7	15.98406083
8	15.97951206
9	15.976712
10	15.97248542
11	15.96807209
12	15.96515447
13	15.96167004
14	15.9559537
15	15.95285227
16	15.94850298
17	15.94564445
18	15.94236125
19	15.93897021
20	15.93590774
21	15.93318737
22	15.92845387
23	15.92629671
24	15.92332566
25	15.91813365
26	15.91505788
27	15.91126459
28	15.90826262
29	15.90450918
30	15.89983326
31	15.89695554
32	15.89157457
33	15.8901375
34	15.88604512
35	15.8799004
36	15.87522532
37	15.87193763
38	15.86799726
39	15.86393527
40	15.86015644
41	15.85729263
42	15.85445339
43	15.85297928
44	15.84886458
45	15.84383387
46	15.83921519
47	15.83458049
48	15.82974097
49	15.82639886
50	15.82166712
51	15.81843832
52	15.812949
53	15.81025315
54	15.80723505
55	15.80415781
56	15.80038976
57	15.79772557
58	15.79383573
59	15.78951119
60	15.7852082
61	15.78135464
62	15.77676364
63	15.77178607
64	15.76782974
65	15.76361885
66	15.76041461
67	15.75778377
68	15.75632517
69	15.75475625
70	15.75142369
71	15.7465661
72	15.74188282
73	15.73830838
74	15.73592542
75	15.73473413
76	15.72983356
77	15.72598369
78	15.72279189
79	15.7203857
80	15.71784894
81	15.71179989
82	15.71014329
83	15.70708909
84	15.70476102
85	15.7021178
86	15.70123047
87	15.69832409
88	15.69445222
89	15.69002961
90	15.68693344
91	15.68296001
92	15.67905142
93	15.67504942
94	15.67133848
95	15.66972895
96	15.66609225
97	15.6628772
98	15.66014664
99	15.65674474
