iter	Passed	Remaining
0	2	266
1	3	171
2	4	137
3	4	119
4	5	109
5	6	102
6	7	96
7	7	91
8	8	88
9	9	86
10	10	83
11	11	81
12	11	79
13	12	78
14	13	79
15	16	84
16	17	83
17	18	83
18	19	81
19	19	79
20	20	77
21	21	75
22	22	74
23	22	72
24	23	70
25	24	69
26	25	68
27	25	66
28	26	65
29	28	65
30	30	67
31	31	66
32	32	65
33	33	64
34	34	63
35	34	62
36	35	60
37	36	59
38	37	58
39	38	57
40	38	55
41	39	54
42	40	53
43	41	52
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	55	40
58	58	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	79	18
81	80	17
82	81	16
83	82	15
84	83	14
85	85	13
86	88	13
87	89	12
88	89	11
89	90	10
90	91	9
91	92	8
92	93	7
93	94	6
94	94	4
95	95	3
96	96	2
97	97	1
98	99	1
99	101	0
